age,gender,signs_of_mental_illness,threat_level,flee,body_camera,african_american
44,0,1,1,0,0,FALSE
31,1,1,1,0,0,FALSE
44,1,0,1,0,0,FALSE
30,1,0,0,0,0,FALSE
60,1,1,1,1,0,FALSE
50,1,1,1,0,0,FALSE
36,1,0,1,0,0,TRUE
59,1,0,1,0,0,TRUE
33,1,0,1,0,0,TRUE
19,1,0,0,0,0,FALSE
56,1,0,1,0,0,FALSE
45,1,1,1,1,0,FALSE
22,1,0,0,0,0,FALSE
41,1,0,0,0,0,FALSE
34,1,0,0,1,0,FALSE
53,1,1,1,0,0,FALSE
48,1,0,1,0,0,FALSE
25,1,0,1,1,0,FALSE
30,1,0,1,0,0,FALSE
47,1,0,1,0,0,FALSE
33,1,0,1,0,1,FALSE
34,1,0,1,0,0,FALSE
52,1,0,1,0,0,
29,1,0,1,0,0,FALSE
63,1,1,0,0,0,FALSE
49,1,0,1,0,0,TRUE
18,1,0,1,1,0,FALSE
71,1,0,1,0,0,FALSE
35,1,1,1,0,0,FALSE
55,1,1,0,0,0,FALSE
31,1,1,0,0,1,TRUE
18,1,0,1,0,0,FALSE
51,1,1,0,0,0,FALSE
39,1,0,1,0,0,TRUE
20,1,0,1,1,0,TRUE
29,1,1,1,0,0,FALSE
40,1,0,1,0,0,FALSE
42,1,0,1,0,0,FALSE
22,1,0,1,1,0,TRUE
19,1,0,0,0,0,TRUE
24,1,1,0,0,1,FALSE
30,1,1,1,0,0,FALSE
53,1,0,0,1,0,FALSE
25,1,0,1,0,0,TRUE
28,1,0,1,0,0,TRUE
33,1,0,1,0,0,TRUE
24,1,0,1,1,0,TRUE
59,1,0,1,0,0,FALSE
46,1,0,1,0,0,FALSE
15,1,0,1,0,0,TRUE
41,1,1,1,0,0,FALSE
77,1,1,1,0,0,
22,1,0,1,1,0,FALSE
24,1,0,0,0,0,FALSE
34,1,0,1,0,0,FALSE
48,1,0,0,0,0,FALSE
24,1,0,1,0,0,FALSE
27,1,0,1,1,1,TRUE
27,1,0,1,1,0,FALSE
27,1,0,1,1,0,TRUE
49,1,0,0,1,0,FALSE
30,0,0,0,0,0,TRUE
38,1,0,1,0,0,TRUE
26,1,0,1,0,0,FALSE
30,1,1,1,1,0,TRUE
53,1,0,1,1,0,FALSE
23,1,0,1,0,0,TRUE
34,1,1,1,0,0,TRUE
30,1,0,1,0,0,FALSE
43,1,0,1,0,0,FALSE
29,1,0,0,0,0,FALSE
47,1,0,1,0,0,FALSE
35,1,0,1,0,0,TRUE
40,1,0,0,1,0,FALSE
18,1,0,1,1,0,TRUE
24,1,0,1,1,0,TRUE
29,1,1,1,1,0,FALSE
44,1,1,1,0,0,FALSE
17,1,1,1,0,0,FALSE
19,1,1,1,0,0,FALSE
50,1,1,1,0,0,FALSE
57,1,1,1,0,0,FALSE
30,1,0,1,1,0,FALSE
38,1,0,0,0,0,FALSE
31,1,0,1,0,0,FALSE
29,1,0,0,0,0,FALSE
26,1,0,1,1,0,FALSE
64,1,0,0,0,0,FALSE
39,1,0,1,1,0,TRUE
57,1,0,1,0,0,FALSE
36,1,1,1,0,0,FALSE
36,1,0,1,1,0,FALSE
21,1,0,1,0,0,FALSE
53,1,0,1,0,0,TRUE
30,1,0,1,1,0,FALSE
34,1,0,1,0,0,TRUE
53,1,0,1,0,0,FALSE
45,1,0,1,0,0,FALSE
22,1,0,1,0,0,FALSE
22,1,1,1,0,0,FALSE
46,1,0,1,1,0,FALSE
27,1,1,1,0,0,FALSE
30,1,0,1,0,1,TRUE
54,1,0,0,0,1,FALSE
29,1,0,1,0,0,FALSE
42,1,0,1,0,0,TRUE
41,1,1,0,0,0,FALSE
28,1,1,1,0,1,FALSE
61,1,0,0,0,0,TRUE
23,1,0,1,0,0,FALSE
25,1,0,1,1,0,TRUE
43,1,0,0,0,0,FALSE
29,1,0,0,1,0,FALSE
20,1,0,1,0,0,FALSE
40,1,0,1,0,0,FALSE
45,1,0,1,1,0,FALSE
33,1,0,1,1,0,TRUE
76,1,0,1,0,0,FALSE
47,1,0,1,0,0,FALSE
45,1,1,1,0,1,FALSE
40,1,1,1,0,1,FALSE
37,1,1,1,0,0,FALSE
27,1,0,1,1,0,FALSE
36,1,0,1,0,0,FALSE
23,1,1,0,0,0,FALSE
49,1,0,1,0,0,FALSE
21,1,1,1,0,0,TRUE
32,1,1,0,0,1,FALSE
35,1,0,1,0,0,TRUE
27,0,0,0,0,0,TRUE
59,1,0,1,1,0,FALSE
28,1,1,1,1,0,TRUE
45,1,0,1,0,0,FALSE
45,1,0,0,1,1,FALSE
19,1,0,1,0,0,FALSE
25,1,0,1,0,0,FALSE
37,1,1,0,0,0,TRUE
33,1,0,1,1,0,FALSE
59,1,0,1,0,0,FALSE
31,1,0,1,0,0,FALSE
35,1,1,0,0,0,
29,1,0,1,0,0,TRUE
32,1,0,1,1,0,FALSE
41,1,0,1,1,0,FALSE
31,1,0,1,0,0,FALSE
44,1,0,1,1,0,FALSE
23,1,0,0,0,0,FALSE
45,1,0,1,0,0,FALSE
