Unnamed: 0,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,Number of Sworn Officers,Number Wearing Body Cameras,Coverage,Fairness,Section of Provision,Policy Language/ Explanation,Transparency,Section of Provision(s),Policy Language/ Explanation.1,Privacy,Section of Provision.1,Policy Language/ Explanation.2,Accountability,Section of Provision.2,Policy Language/ Explanation.3
,shot,gun,39.0,M,H,Los Angeles,CA,False,attack,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,knife,37.0,F,H,Los Angeles,CA,True,other,Not fleeing,True,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,,53.0,M,B,Los Angeles,CA,False,attack,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot and Tasered,bean-bag gun,35.0,M,H,Los Angeles,CA,False,other,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,undetermined,26.0,M,H,Los Angeles,CA,True,attack,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,16.0,M,H,Los Angeles,CA,False,attack,Car,True,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,29.0,M,H,Los Angeles,CA,False,other,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,33.0,M,W,Los Angeles,CA,False,attack,Foot,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,knife,28.0,M,H,Los Angeles,CA,False,attack,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,knife,28.0,M,A,Los Angeles,CA,False,other,Not fleeing,True,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,31.0,M,B,Los Angeles,CA,False,attack,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,18.0,M,B,Los Angeles,CA,False,attack,Foot,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,14.0,M,H,Los Angeles,CA,False,attack,Foot,True,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,18.0,M,B,Los Angeles,CA,False,other,Foot,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,18.0,M,B,Los Angeles,CA,False,undetermined,Foot,True,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,toy weapon,16.0,M,H,Los Angeles,CA,True,attack,Not fleeing,True,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,23.0,M,H,Los Angeles,CA,False,undetermined,Foot,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,33.0,M,H,Los Angeles,CA,False,other,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,undetermined,20.0,M,B,Los Angeles,CA,False,undetermined,Foot,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,knife,32.0,M,W,Los Angeles,CA,False,other,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,hatchet,50.0,M,W,Los Angeles,CA,False,other,Car,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot and Tasered,pipe,70.0,M,H,Los Angeles,CA,False,other,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,35.0,M,H,Los Angeles,CA,False,other,Foot,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
,shot,gun,28.0,M,B,Los Angeles,CA,False,other,Not fleeing,False,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
